pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
1kel	H	L	0	H	Hapten	AAH	?	CATALYTIC ANTIBODY	04/16/96	CATALYTIC ANTIBODY 28B4 FAB FRAGMENT COMPLEXED WITH HAPTEN (1-[N-4'-NITROBENZYL-N-4'-CARBOXYBUTYLAMINO] METHYLPHOSPHONIC ACID)	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Hsieh-Wilson, L.C., Schultz, P.G., Stevens, R.C.	1.9	X-RAY DIFFRACTION	0.258	0.199	False	False	IGHV7	IGKV1	Kappa	3.70E-08	-9.83	SPR	NA	11535051
3u1s	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	09/30/11	Crystal structure of human Fab PGT145, a broadly reactive and potent HIV-1 neutralizing antibody	HOMO SAPIENS	homo sapiens	homo sapiens		Julien, J.-P., Diwanji, D., Burton, D.R., Wilson, I.A.	2.3	X-RAY DIFFRACTION	0.228	0.195	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
6otc	H	L	0	A	protein	NA	polymerase cofactor vp35	VIRAL PROTEIN/IMMUNE SYSTEM	05/02/19	Synthetic Fab bound to Marburg virus VP35 interferon inhibitory domain	LAKE VICTORIA MARBURGVIRUS (STRAIN POPP-67); SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	lake victoria marburgvirus (strain popp-67)	Amatya, P., Chen, G., Borek, D., Sidhu, S.S., Leung, D.W.	1.7	X-RAY DIFFRACTION	0.233	0.196	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
3wfd	H	L	0	B | C	protein | protein	NA | NA	nitric oxide reductase subunit b | nitric oxide reductase subunit c	IMMUNE SYSTEM/OXIDOREDUCTASE	07/18/13	Reduced and acetaldoxime-bound cytochrome c-dependent nitric oxide reductase (cNOR) from Pseudomonas aeruginosa in complex with antibody fragment	MUS MUSCULUS; PSEUDOMONAS AERUGINOSA	mus musculus	mus musculus	pseudomonas aeruginosa | pseudomonas aeruginosa	Sato, N., Ishii, S., Hino, T., Sugimoto, H., Fukumori, Y., Shiro, Y., Tosha, T.	2.3	X-RAY DIFFRACTION	0.232	0.191	False	False	IGHV1	IGKV16	Kappa	None	None	None	None	None
5c0n	C	D	0	B	protein	NA	fatty acid-binding protein, adipocyte	LIPID TRANSPORT	06/12/15	Development of a monoclonal antibody targeting secreted aP2 to treat diabetes and fatty liver disease	ORYCTOLAGUS CUNICULUS; MUS MUSCULUS	oryctolagus cuniculus	oryctolagus cuniculus	mus musculus	Doyle, C.	3.0	X-RAY DIFFRACTION	0.265	0.186	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5c0n	H	L	0	A	protein	NA	fatty acid-binding protein, adipocyte	LIPID TRANSPORT	06/12/15	Development of a monoclonal antibody targeting secreted aP2 to treat diabetes and fatty liver disease	ORYCTOLAGUS CUNICULUS; MUS MUSCULUS	oryctolagus cuniculus	oryctolagus cuniculus	mus musculus	Doyle, C.	3.0	X-RAY DIFFRACTION	0.265	0.186	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
1a3r	H	L	0	P	peptide	NA	human rhinovirus capsid protein vp2	VIRAL PROTEIN/IMMUNE SYSTEM	01/23/98	FAB FRAGMENT (ANTIBODY 8F5) COMPLEXED WITH PEPTIDE FROM HUMAN RHINOVIRUS (SEROTYPE 2) VIRAL CAPSID PROTEIN VP2 (RESIDUES 156-170)	MUS MUSCULUS; HUMAN RHINOVIRUS 2	mus musculus	mus musculus	human rhinovirus 2	Tormo, J., Blaas, D., Fita, I.	2.1	X-RAY DIFFRACTION	unknown	0.171	False	False	IGHV14	IGKV8	Kappa	None	None	None	None	None
1mj8	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	08/27/02	High Resolution Crystal Structure Of The Fab Fragment of The Esterolytic Antibody MS6-126	MUS MUSCULUS	mus musculus	mus musculus		Ruzheinikov, S.N., Muranova, T.A., Sedelnikova, S.E., Partridge, L.J., Blackburn, G.M., Murray, I.A., Kakinuma, H., Takashi, N., Shimazaki, K., Sun, J., Nishi, Y., Rice, D.W.	1.75	X-RAY DIFFRACTION	0.221	0.155	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
6pi7	C	B	0	A	protein	NA	tudor and kh domain-containing protein	PROTEIN BINDING	06/26/19	Crystal structure of the TDRD2 extended Tudor domain in complex with an antibody fragment and the PIWIL1 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, K., Min, J.R., Structural Genomics Consortium (SGC)	2.8	X-RAY DIFFRACTION	0.206	0.190	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6pi7	F	E	0	D	protein	NA	tudor and kh domain-containing protein	PROTEIN BINDING	06/26/19	Crystal structure of the TDRD2 extended Tudor domain in complex with an antibody fragment and the PIWIL1 peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, K., Min, J.R., Structural Genomics Consortium (SGC)	2.8	X-RAY DIFFRACTION	0.206	0.190	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1cf8	H	L	0	H	Hapten	HAZ	4-{4-[2-(1A,7A-DIMETHYL-4-OXY-OCTAHYDRO-1-OXA-4-AZA-CYCLOPROPA[A]NAPHTHALEN-4-YL) -ACETYLAMINO]-PHENYLCARBAMOYL}-BUTYRIC ACID	CATALYTIC ANTIBODY	03/24/99	Convergence of catalytic antibody and terpene cyclase mechanisms: polyene cyclization directed by carbocation-pi interactions	MUS MUSCULUS	mus musculus	mus musculus	mus musculus	Paschall, C.M., Hasserodt, J., Jones, T., Lerner, R.A., Janda, K.D., Christianson, D.W.	2.7	X-RAY DIFFRACTION	0.257	0.165	False	False	IGHV3	IGKV4	Kappa	None	None	None	None	None
2ybr	G	H	0	I	protein	NA	beta-mammal toxin cn2	IMMUNE SYSTEM/TOXIN	03/09/11	Crystal structure of the human derived single chain antibody fragment  (scFv) 9004G in complex with Cn2 toxin from the scorpion Centruroides  noxius Hoffmann	HOMO SAPIENS; CENTRUROIDES NOXIUS HOFFMANN	homo sapiens	homo sapiens	centruroides noxius hoffmann	Canul-Tec, J.C., Riano-Umbarila, L., Rudino-Pinera, E., Becerril, B., Possani, L.D., Torres-Larios, A.	2.55	X-RAY DIFFRACTION	0.24673	0.19183	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
2ybr	D	E	0	F	protein	NA	beta-mammal toxin cn2	IMMUNE SYSTEM/TOXIN	03/09/11	Crystal structure of the human derived single chain antibody fragment  (scFv) 9004G in complex with Cn2 toxin from the scorpion Centruroides  noxius Hoffmann	HOMO SAPIENS; CENTRUROIDES NOXIUS HOFFMANN	homo sapiens	homo sapiens	centruroides noxius hoffmann	Canul-Tec, J.C., Riano-Umbarila, L., Rudino-Pinera, E., Becerril, B., Possani, L.D., Torres-Larios, A.	2.55	X-RAY DIFFRACTION	0.24673	0.19183	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
